,10 HK,101 HK,1038 HK,11 HK,12 HK,14 HK,142 HK,16 HK,17 HK,179 HK,19 HK,2 HK,20 HK,23 HK,267 HK,291 HK,293 HK,3 HK,315 HK,363 HK,4 HK,494 HK,5 HK,511 HK,6 HK,8 HK,83 HK,941 HK,97 HK,992 HK,66 HK,762 HK,883 HK,282 HK,2388 HK,330 HK,1199 HK,551 HK,144 HK,2038 HK,388 HK,939 HK,386 HK,3988 HK,1398 HK,2628 HK,2318 HK,3328 HK,1088 HK,688 HK,857 HK,2600 HK,700 HK,836 HK,1109 HK,1880 HK,1898 HK,1044 HK,1299 HK,151 HK,322 HK,1928 HK,135 HK,27 HK,2319 HK,823 HK,1 HK,1113 HK
10 HK,0.0019495312579096262,0.0017471824198850019,0.00026921443784780385,0.0005856864188973664,0.0012426102656699068,0.001119381454169192,0.000926484287930004,0.001127084680927765,0.001747755123250264,0.0006993527917223299,0.0009429467056179673,0.00018900666817026795,0.0014122976773485354,0.0008725529731869187,0.0011615645134994868,0.0011486183985792155,0.0008540012234292789,0.00046512768940498115,0.0004130355882299537,0.0009689141838439056,0.001210482446695971,0.0008162607209449423,0.0006236759367778165,0.0005599918103616318,0.00011395464838805821,0.0005102291224454863,0.0014642470293308217,0.0006876138647560395,0.0009166103319127285,0.0007952999700577321,0.0007568887628534493,0.0009621770130795786,0.0010732265396446129,0.0009960239343123085,0.0007858067016265286,0.000611624899922664,0.0012668577376915863,0.0004546947209956772,0.0011754039940506211,0.0010283063219866627,0.0012066912095920928,0.0010507294630532195,0.0008326242027938703,0.0009839197667158618,0.0011259351044578998,0.0010480450907777062,0.0012219314225166897,0.001138062386551825,0.0013848740651433288,0.0015370502194739638,0.0009378405629743091,0.001364557863952451,0.0009994202363543688,0.0009591910284309213,0.0014518525473959138,0.001226519785736188,0.0017819880182577256,0.0005028927009067663,0.0004148873806910504,0.0004523456838441038,0.000659233720043823,0.0006880198668151761,0.0010250313287100596,0.0014424769622526836,0.0008182051611825968,0.00043497448027605967,0.001016741406416201,0.0009995779800419083
101 HK,0.0017471824198850019,0.0023927636418931584,0.0003124641516127734,0.0006791255001007726,0.0014307790570855837,0.0011793916716344266,0.0010689825935298843,0.0013298207976116007,0.002153798946582186,0.0009236382088636965,0.0010265932359756805,0.00019557712591965066,0.0015304336270482825,0.0009826583304186585,0.0012572031837546614,0.0013973587316432753,0.001075708033682833,0.0005557817043071403,0.0003458282355458674,0.001075228387167662,0.0013484048816680741,0.0010792179937190486,0.0006871346906729472,0.0005775864382907209,0.00013872816252291919,0.0005371766955514552,0.00194871342768306,0.0008292825209490595,0.0012353916795709982,0.001070722803602063,0.0009411633294674654,0.001134630299932267,0.00138950811026017,0.0008358319391335987,0.0009887254034214687,0.0007590486395728397,0.0015740056545867382,0.0005549300755655471,0.0013292088467272917,0.0012404301309244168,0.0014088511937869722,0.001237809820971968,0.0013385567620809312,0.0011651828560068401,0.0013764957504223284,0.0012322439400588654,0.0014339901161593866,0.0013428956683379058,0.0016180615263259924,0.0020875678163403233,0.001300283058443451,0.0019624935438613835,0.0011872213637896946,0.0012059261162823446,0.0020211342710673447,0.0015930979338173409,0.0023288469599577854,0.0005653925010594393,0.0005244159966531608,0.0006022618078276971,0.0009342523520374135,0.0008806889074970799,0.0011978348247822827,0.001825667554706117,0.0012160251603628087,0.0005342920977487073,0.001229994643832658,0.0012293350846289382
1038 HK,0.00026921443784780385,0.0003124641516127734,0.0007906177563625915,0.0001782726652665604,0.00024593744109995116,0.0002493778522380519,0.000355069689727811,0.0002783077663983202,0.00043023405957803477,0.00026022774726803724,0.00025687245010027156,0.00019784350908603858,0.0003732039736413952,0.0001989230115546383,0.000407436257422069,0.00032389079779409486,0.00020955438417405184,0.0003126280200588379,0.0002194424159074069,0.00020975089165018064,0.000289953672199306,0.0003276839641838164,0.00015562113146512754,0.00022277646892211825,0.0002822808643632749,0.0003966049047246429,0.0003372538934303528,0.00033998975382957245,-8.299164544332186e-05,0.0003032518219704423,0.00035767900086388526,0.0005143683926933897,0.0003362661367205236,0.00023494642064077195,0.00019240286710328283,0.0002854353063598683,0.0004425504066744391,0.00020856414114458252,0.0003572691749216237,0.00011549552193555235,0.00027300083813005887,0.00023226221554618532,0.00040463336423948157,9.873113357126375e-05,0.00020494766876261893,0.0002778600147734781,0.00025153682427499083,8.096597091306828e-05,0.0002821365479716156,0.000565616956390912,0.0003503669887517244,0.0006779241885399006,0.0003359418790691872,0.00034643203123502475,0.0005820726672005895,0.00019124022106490113,0.00020438666165089955,0.00018978082617964655,0.0001589042794017833,1.9734701231812953e-05,0.0001173938626396227,0.00015932819666475515,0.0003595555666003906,0.0008371048681331758,0.0001962527323351082,7.210246941469401e-05,0.0003021250030134902,0.0002843921507594584
11 HK,0.0005856864188973664,0.0006791255001007726,0.0001782726652665604,0.0009261074675821875,0.0007710799926842868,0.0006520341580665699,0.0003101364279272174,0.0007669191540778696,0.0009097957226174256,0.0005289398149210259,0.0006208329112913551,0.00019409193058286917,0.0007436509538621775,0.0006750038569523696,0.0007599182665001734,0.0007191307992073058,0.0005785087910515962,0.0003041984107642651,0.00013694550740875339,0.0005854925625575863,0.000762638681193133,0.00047269142557846593,0.0006357004854251295,0.000440232204039073,0.00014713640701593015,0.00017727367380985972,0.0008171238077008417,0.0004928869947889067,-7.917094547792116e-05,0.0005508634942651564,0.0004446195761487096,0.0004076135900156623,0.0007347997575688782,0.00015008159391035838,0.0007038113474044384,0.0004820327710894341,0.0007933393763579589,0.00023490896742085144,0.0006896704744598374,0.0007577360254918932,0.0008363818702745987,0.0006908494756990883,0.0006081284482195873,0.0005117811656473914,0.0007641178317524063,0.0005983819764275625,0.0008010079334975046,0.0007850331414271271,0.0009112629352525178,0.0006507915948114721,0.0006239597817451632,0.0008103388732756973,0.0006231561389119886,0.0005767657336860657,0.0006168040283534786,0.0009401795072780742,0.0013606276624135347,0.00023695345184852743,0.0003477440106440431,0.00026045461523788166,0.00025735352686790227,0.00048510073521080605,0.00039143681489599026,0.0005560659132412104,0.000552056898397806,0.0003283518208325893,0.0007378451261030294,0.0010505711559686038
12 HK,0.0012426102656699068,0.0014307790570855837,0.00024593744109995116,0.0007710799926842868,0.002170561742972278,0.001263908827955137,0.0007845960674087475,0.0016537751947186571,0.00194407262460078,0.0009556718358297497,0.001113102942434193,0.00017571872959029812,0.0014558361786584041,0.0009363243075360557,0.0012198985377560947,0.001216509293193696,0.0009271313505944725,0.0005231462862358224,0.0004291921427170067,0.001095189707544968,0.0015004328107688645,0.0009009814584745485,0.0007686676367199291,0.0008407807259979684,0.00016708713319824628,0.0007043414610867361,0.0019180446738313631,0.0009035955778846554,0.0008517366679120708,0.0008773773781935197,0.0007949906586474937,0.0009705312115076964,0.0010014265880995098,0.0006069879129523415,0.0009157345493156219,0.0007589007988220842,0.001414844323710481,0.0005461846779508879,0.0012540209976656717,0.001115887777818251,0.0014518219014662242,0.0010345152031094687,0.0012373740876612143,0.0008846833761683319,0.0010769466690139845,0.0010647451069385075,0.0012285379667347706,0.0011417792420439147,0.0013762219566567989,0.0013496510044499052,0.0008982467564141818,0.0014444762780076539,0.000966353299091936,0.0007845840183807613,0.0014966901295845267,0.0012052920405424506,0.0018694686106998865,0.0005671108786710302,0.000523281404808742,0.00047466340299996625,0.0005351799198554089,0.0008688088356457846,0.0008466977839766654,0.0010709895562015048,0.0007374898613724732,0.00048251510617797053,0.0014338798993760277,0.00141843955555154
14 HK,0.001119381454169192,0.0011793916716344266,0.0002493778522380519,0.0006520341580665699,0.001263908827955137,0.002026808073921313,0.00071831735496556,0.001164399804500384,0.0018891743788878508,0.0007871539242000646,0.0009528810224614523,0.0001832638572418206,0.0012953167850416837,0.0008013512870019907,0.0011203783716270648,0.0010523529959905532,0.0008216152629377608,0.0004375146990114257,0.0004383165784351462,0.0009731247832093474,0.0012272535417434188,0.0007477122466358952,0.0005962723002454561,0.0006898825069489439,0.00014840057437674983,0.0005666224650628687,0.0017008652369592846,0.0006410567184804079,0.0004113640735594403,0.0008229901405759988,0.0007847323572031402,0.0009219014239240255,0.0009920194301820406,0.0004801975280907331,0.0008744172524872549,0.0006591205289144083,0.0012962867315075754,0.00046773286912400264,0.0010593530331209663,0.0008608114707837399,0.00109400069847155,0.0008385217875882837,0.0010404670414851948,0.0006937688608312907,0.0009618530163162407,0.0008498555686652332,0.000977653994438507,0.0009899409786590812,0.0011263057956127731,0.0014219929254569669,0.0009339343242047066,0.0014233269826129187,0.0008135424189809249,0.0006603042941227571,0.0014633906987272403,0.0009249327193119193,0.0018291278578675856,0.0004908839297919494,0.000342862323788438,0.0005048224808218882,0.000525770200259444,0.0007021922351385164,0.0010373997444981045,0.0007971846198520697,0.0006733931516136854,0.0005216727528152702,0.0010576406244155203,0.0009211462592103826
142 HK,0.000926484287930004,0.0010689825935298843,0.000355069689727811,0.0003101364279272174,0.0007845960674087475,0.00071831735496556,0.011054112616716726,0.000608658205638165,0.001576560321328571,0.0005144082317079589,0.0006437636816862517,0.0003678865049401022,0.001091227403177064,0.0004506370421153081,0.0010335847739886444,0.000779517239362057,0.00036920396876310437,0.0031473049087617725,0.002113252685409469,0.0005224221122896551,0.0008224369648030052,0.0010965999100295712,0.00034169587978372573,0.0007671929455036869,0.00023472956551475683,0.003439456584868387,0.0010221725086762311,0.0004649438945342429,0.008222557128874463,0.004432831756298273,0.0006249889624352193,0.001338695579330477,0.0008856329592434432,0.009921908106800686,0.00027684559895043684,0.0007019274163429663,0.0009006303607391155,0.00012026741412820817,0.0007960042750210725,-8.513111480649227e-05,0.0006302894437910336,0.003757444214819637,0.0037631852086075827,0.003738552692285493,0.003188389671287113,0.0007227934505629729,0.0008687097678597532,0.003879992385958058,0.0012194771349424826,0.0017022424422795826,0.0023132441427106526,0.0029905746445784537,0.000635086067729376,0.0005601601321125242,0.0015816836482426097,0.0009878759200954656,0.0002904053875505965,0.0003988248321594873,0.0005067686977080529,1.6945530817397573e-05,0.0009827572894313976,0.0005354283033067969,0.0027310236519402916,0.0017564599867565943,-6.457003867930345e-05,0.0008300636696308448,0.0006462854967468835,0.0008853038299874066
16 HK,0.001127084680927765,0.0013298207976116007,0.0002783077663983202,0.0007669191540778696,0.0016537751947186571,0.001164399804500384,0.000608658205638165,0.001956747094214112,0.001702508983008085,0.0008926312318754804,0.0011325341314011958,0.00017129257615416726,0.001255034064484709,0.0008794805379861365,0.0012195942563480865,0.001191549101153815,0.0008817680668659669,0.0004736620512672797,0.0004117201208573308,0.0010626427359127898,0.00142801433659327,0.0009362482690034832,0.0007837057738767868,0.0007814620104466537,0.0001483969341030878,0.0004888885410393686,0.0017875068332643795,0.0009151638416874093,-0.0004151222745353076,0.0009726871692956518,0.0007239461304278885,0.0009103968414630625,0.00101490926520395,0.00031004784105344535,0.0008806942332355729,0.0008407881760895061,0.0013733038379197102,0.000486210806947797,0.001180038026362402,0.0009537965858706773,0.0014535687614980694,0.0009770180409875329,0.0011685906979700263,0.000703095434595273,0.0010889855337892947,0.0009420270030897323,0.001108086678165648,0.001130821017179786,0.0013531576187079152,0.001202862775352113,0.0009181961492540036,0.0013712820858844304,0.0010333744998987176,0.000883276807394649,0.0012145577498041092,0.001222289864292913,0.0019169038111145759,0.0004589732742996131,0.0004619621804286008,0.000535457297006362,0.000416924315424749,0.0008055982396178679,0.0007762885230539007,0.0006895552912645417,0.0008436205752064713,0.0004286629884731145,0.0014601807837345295,0.0012941425987130044
17 HK,0.001747755123250264,0.002153798946582186,0.00043023405957803477,0.0009097957226174256,0.00194407262460078,0.0018891743788878508,0.001576560321328571,0.001702508983008085,0.005586268840096026,0.001404173232444441,0.0013022693872100813,0.00020850318406522527,0.002167295734717895,0.0013192777849674242,0.0018771498702124083,0.0017722460078652602,0.0016254427706882256,0.0006411929771957509,0.0006536139899383384,0.0014946370058106563,0.0020193292889670797,0.0019813069734382423,0.0009521413613918018,0.000942368780946703,9.280511224901811e-05,0.001119594442627769,0.0038013432324763724,0.0010353506911804707,0.002179821289925358,0.0019462801937694802,0.0016322939226890943,0.0018921678471227588,0.0020606140957542653,0.0007965274424169481,0.0014948804027290542,0.0011277293710794663,0.0026097801032110906,0.0008199185637105533,0.0016099065755031446,0.0019978028573354465,0.0018049395721203992,0.0013439452523889158,0.001728619680127898,0.0011177254951781122,0.0014397997245832322,0.0014486608874827848,0.0014873667631578509,0.001805439070516184,0.00149379825697005,0.0034576409695077697,0.0027530527429805622,0.0035846733130227896,0.0014045359299284972,0.001566041258428435,0.0032114833362884166,0.0019898051682249434,0.0034047704201067438,0.000781375291567058,0.0006379323592585329,0.0008495844237816697,0.0011701487063318023,0.0011084679681770218,0.0025170504633757963,0.004053377060092103,0.0013905075145722898,0.0005722849838403208,0.0016517523045029544,0.0010928151720717223
179 HK,0.0006993527917223299,0.0009236382088636965,0.00026022774726803724,0.0005289398149210259,0.0009556718358297497,0.0007871539242000646,0.0005144082317079589,0.0008926312318754804,0.001404173232444441,0.0031024860622977674,0.0009437199357415452,0.00011073708943142497,0.0010626131420947184,0.0007953283254852025,0.001244486309770482,0.0010573150772468932,0.000918836987726243,0.00022007135847215922,0.0004141635133565989,0.0007765631190169166,0.0009725279304713631,0.0009455986692348445,0.0008221618161545686,0.000631402115991658,-1.1628822269098032e-05,0.0005171219763981182,0.0013605181969944741,0.0008815568162938306,0.00031182265375231136,0.0006901599233942199,0.000655932811194057,0.0008255657523877392,0.0009573765688737998,0.000440980866926729,0.0008684039119059942,0.0007523014338558137,0.0015867511586500176,0.0005870462887848264,0.0012034997441360432,0.001049134632028155,0.0011591426672740686,0.000537733459641625,0.0006396139599747842,0.0004915143005043401,0.0006275467029498612,0.0007371759452530749,0.0008203749943400719,0.0006812563484730698,0.0009997683264425835,0.0008195718105493792,0.0006359570722091599,0.001166989976793722,0.0007766754670631144,0.0005960846084254547,0.0008562147056200566,0.0010781672762172501,0.0015621612665413871,0.0004003229819639564,0.0002394356476520029,0.0002691222265566542,0.000325928143609162,0.000712772030708906,0.0003452815524856043,0.0011292555066877835,0.0008119649449952819,0.0003313474463212817,0.0008938388500987741,0.0006228225940616555
