,R-squared
NKY Index,0.6852278937750671
HSI Index,0.6437191011128613
AS51 Index,0.6002391352816993
HSCEI Index,0.5279971262265006
SHSZ300 Index,0.23459103549790394
TWSE Index,0.5311733991932807
KOSPI Index,0.5137191394553436
NIFTY Index,0.5431308339637346
FSSTI Index,0.6742992925858153
SPX Index,0.6903177696457179
NDX Index,0.5776289960444521
ibov Index,0.5333473132914569
SX5E Index,0.6608181126784834
UKX Index,0.6732254121436274
CAC Index,0.6680248461286078
DAX Index,0.6174971490095121
SMI Index,0.5033107146158903
IBEX Index,0.546577803710007
OMX Index,0.5669951041090504
AEX Index,0.6199694860563211
