,ERC,MDR,GMV,MDC,MSR
10 HK,0.012117,0.010000,0.010000,0.010000,0.010000
101 HK,0.011509,0.010000,0.010000,0.010000,0.010000
1038 HK,0.056313,0.081204,0.100000,0.044115,0.010000
11 HK,0.016920,0.010000,0.010000,0.010000,0.010000
12 HK,0.010459,0.010000,0.010000,0.010000,0.010000
14 HK,0.012123,0.010000,0.010000,0.010000,0.010000
142 HK,0.011871,0.010000,0.010000,0.010000,0.010000
16 HK,0.010673,0.010000,0.010000,0.010000,0.010000
17 HK,0.010000,0.010000,0.010000,0.010000,0.010000
179 HK,0.015887,0.019738,0.010000,0.010000,0.010000
19 HK,0.013242,0.010000,0.010000,0.010000,0.010000
2 HK,0.052870,0.010000,0.100000,0.070661,0.010000
20 HK,0.010461,0.010000,0.010000,0.010000,0.010000
23 HK,0.011453,0.010000,0.010000,0.010000,0.010000
267 HK,0.010000,0.010000,0.010000,0.010000,0.010000
291 HK,0.010792,0.010000,0.010000,0.010000,0.010000
293 HK,0.012708,0.010000,0.010000,0.010000,0.010000
3 HK,0.021250,0.010000,0.010000,0.010000,0.010000
315 HK,0.024637,0.100000,0.029690,0.100000,0.010000
363 HK,0.010000,0.010000,0.010000,0.010000,0.010000
4 HK,0.010000,0.010000,0.010000,0.010000,0.010000
494 HK,0.013592,0.010000,0.010000,0.010000,0.010000
5 HK,0.016457,0.010000,0.010000,0.010000,0.010000
511 HK,0.014800,0.010000,0.010000,0.010000,0.010000
6 HK,0.054225,0.039875,0.100000,0.077786,0.010000
8 HK,0.021987,0.028714,0.010000,0.012008,0.010000
83 HK,0.010000,0.010000,0.010000,0.010000,0.010000
941 HK,0.016189,0.010000,0.010000,0.010000,0.010000
97 HK,0.013110,0.042116,0.010000,0.032667,0.010000
992 HK,0.010488,0.010000,0.010000,0.010000,0.010000
66 HK,0.016633,0.010000,0.010000,0.010000,0.010000
762 HK,0.014240,0.010000,0.010000,0.010000,0.010000
883 HK,0.011453,0.010000,0.010000,0.010000,0.010000
282 HK,0.010783,0.049126,0.010000,0.052763,0.010000
2388 HK,0.011379,0.010000,0.010000,0.010000,0.010000
330 HK,0.011484,0.010000,0.010000,0.010000,0.010000
1199 HK,0.010089,0.010000,0.010000,0.010000,0.010000
551 HK,0.022297,0.010000,0.010000,0.010000,0.010000
144 HK,0.011374,0.010000,0.010000,0.010000,0.010000
2038 HK,0.010064,0.010000,0.010000,0.010000,0.010000
388 HK,0.010000,0.010000,0.010000,0.010000,0.010000
939 HK,0.010710,0.010000,0.010000,0.010000,0.010000
386 HK,0.010575,0.012569,0.010000,0.010000,0.010000
3988 HK,0.010611,0.010000,0.010000,0.010000,0.010000
1398 HK,0.010000,0.010000,0.010000,0.010000,0.010000
2628 HK,0.010586,0.010000,0.010000,0.010000,0.010000
2318 HK,0.010000,0.010000,0.010000,0.010000,0.010000
3328 HK,0.010000,0.010000,0.010000,0.010000,0.010000
1088 HK,0.010000,0.010000,0.010000,0.010000,0.010000
688 HK,0.010000,0.010000,0.010000,0.010000,0.100000
857 HK,0.010992,0.010000,0.010000,0.010000,0.010000
2600 HK,0.010000,0.010000,0.010000,0.010000,0.010000
700 HK,0.010578,0.010000,0.010000,0.010000,0.100000
836 HK,0.013672,0.010000,0.010000,0.010000,0.010000
1109 HK,0.010000,0.010000,0.010000,0.010000,0.060000
1880 HK,0.010000,0.010000,0.010000,0.010000,0.010000
1898 HK,0.010000,0.010000,0.010000,0.010000,0.010000
1044 HK,0.016146,0.010000,0.010000,0.010000,0.010000
1299 HK,0.018010,0.010000,0.010000,0.010000,0.010000
151 HK,0.021782,0.015449,0.010000,0.010000,0.010000
322 HK,0.016913,0.031208,0.010000,0.010000,0.010000
1928 HK,0.012876,0.010000,0.010000,0.010000,0.010000
135 HK,0.010000,0.010000,0.010000,0.010000,0.010000
27 HK,0.010000,0.010000,0.010000,0.010000,0.100000
2319 HK,0.011465,0.010000,0.010000,0.010000,0.010000
823 HK,0.027381,0.010000,0.040310,0.010000,0.010000
1 HK,0.011775,0.010000,0.010000,0.010000,0.010000
1113 HK,0.010000,0.010000,0.010000,0.010000,0.010000
